year,month,value,indicator
2024,May,6.136456573,Private sector credit growth (%)
2024,Jun,5.443118789,Private sector credit growth (%)
2024,Jul,4.921013179,Private sector credit growth (%)
2024,Aug,3.22113902,Private sector credit growth (%)
2024,Sep,2.603479708,Private sector credit growth (%)
2024,Oct,2.165571701,Private sector credit growth (%)
2024,Nov,1.403747656,Private sector credit growth (%)
2024,Dec,0.942557471,Private sector credit growth (%)
2025,Jan,-0.031021116,Private sector credit growth (%)
2025,Feb,1.088434918,Private sector credit growth (%)
2025,Mar,2.390263185,Private sector credit growth (%)
2025,Apr,2.690724398,Private sector credit growth (%)
2025,May,4.057933869,Private sector credit growth (%)
2025,Jun,4.429287034,Private sector credit growth (%)
2025,Jul,5.722668515,Private sector credit growth (%)
2025,Aug,5.465610862,Private sector credit growth (%)
2025,Sept,6.589831519,Private sector credit growth (%)
2025,Oct,7.381716006,Private sector credit growth (%)
2025,Nov,7.411506054,Private sector credit growth (%)
2025,Dec,7.321271092,Private sector credit growth (%)
2026,Jan,7.432386811,Private sector credit growth (%)
2026,Feb,8.191749864,Private sector credit growth (%)
2026,Mar,8.461412402,Private sector credit growth (%)
